Year,Annual mean temperature 
2006,11.36626078
2007,12.17472229
2008,11.36068624
2009,11.20220846
2010,11.97018077
2011,11.87229818
2012,11.63101095
2013,10.95261536
2014,11.77101034
2015,12.00779622
2016,11.32330729
2017,11.33984273
2018,11.53039703
2019,11.73865153
2020,11.78528748
2021,10.95314687
2022,11.37143351
2023,11.18782196
2024,12.38788249
2025,12.31975962
2026,11.74647166
2027,11.48935598
2028,12.61584625
2029,12.02415619
2030,11.32462463
2031,11.94751638
2032,11.81792857
2033,12.05457458
2034,12.30537821
2035,11.81607971
2036,11.41192271
2037,11.66624603
2038,11.90046082
2039,11.92072703
2040,12.89080709
2041,11.90414327
2042,12.21940257
2043,12.19338125
2044,11.98570913
2045,12.14808553
2046,12.18276622
2047,11.85160726
2048,11.44697978
2049,12.5500707
2050,12.52697144
2051,12.24268239
2052,12.31036784
2053,11.97645976
2054,12.4665034
2055,12.01717275
2056,12.01304779
2057,12.73572439
2058,12.36348877
2059,12.63027344
2060,12.68221181
2061,11.84748739
2062,13.03708293
2063,12.68356222
2064,12.82875468
2065,13.39173279
2066,12.92615153
2067,12.79515737
2068,13.46084747
2069,12.88545634
2070,13.27203267
2071,13.31170807
2072,13.501769
2073,13.73461049
2074,13.81133423
2075,13.59412282
2076,13.71012777
2077,14.13850047
2078,13.98720194
2079,13.78048859
2080,13.70186259
2081,13.98472748
2082,14.38533427
2083,14.01501363
2084,14.52770386
2085,14.34713898
2086,13.79824982
2087,14.57702281
2088,14.4321991
2089,14.39507701
2090,14.19961446
2091,14.44344737
2092,14.58942566
2093,14.475295
2094,14.91698863
2095,14.16329854
2096,14.97966665
2097,14.4622996
2098,14.55023092
2099,15.0549764
